frame_idx,capture_unix_ns,wall_time_iso,cam1_monotonic_ns,cam2_monotonic_ns,camera_skew_ms
1,1787371203906353400,2026-08-22T11:00:03.906+07:00,856149775111700,856149822505800,47.394
2,1787371204085047300,2026-08-22T11:00:04.085+07:00,856150146003200,856150179489100,33.486
3,1787371204274274500,2026-08-22T11:00:04.274+07:00,856150337419500,856150379029300,41.610
4,1787371204427526600,2026-08-22T11:00:04.427+07:00,856150504355200,856150530643700,26.288
5,1787371204590828700,2026-08-22T11:00:04.590+07:00,856150698329100,856150698045700,0.283
6,1787371204748887100,2026-08-22T11:00:04.748+07:00,856150818270600,856150823130000,4.859
7,1787371204895915900,2026-08-22T11:00:04.895+07:00,856150989636600,856150989449600,0.187
8,1787371205057063600,2026-08-22T11:00:05.057+07:00,856151123655800,856151123403000,0.253
9,1787371205210324300,2026-08-22T11:00:05.210+07:00,856151286143100,856151305873000,19.730
10,1787371205336095900,2026-08-22T11:00:05.336+07:00,856151434437200,856151403507000,30.930
11,1787371205458522500,2026-08-22T11:00:05.458+07:00,856151564881300,856151560958100,3.923
12,1787371205618653000,2026-08-22T11:00:05.618+07:00,856151692735300,856151713581300,20.846
13,1787371205751612900,2026-08-22T11:00:05.751+07:00,856151876885700,856151859780200,17.105
14,1787371205872196300,2026-08-22T11:00:05.872+07:00,856151997365700,856152008138600,10.773
15,1787371206001762500,2026-08-22T11:00:06.001+07:00,856152125192900,856152125439100,0.246
16,1787371206138504500,2026-08-22T11:00:06.138+07:00,856152255130100,856152258728200,3.598
17,1787371206282968000,2026-08-22T11:00:06.282+07:00,856152361289800,856152360566500,0.723
18,1787371206421537700,2026-08-22T11:00:06.421+07:00,856152523057800,856152507624200,15.434
19,1787371206559416000,2026-08-22T11:00:06.559+07:00,856152638341400,856152657274100,18.933
20,1787371206704720500,2026-08-22T11:00:06.704+07:00,856152812748500,856152816436100,3.688
21,1787371206844989400,2026-08-22T11:00:06.844+07:00,856152925945800,856152916289300,9.656
22,1787371206976009600,2026-08-22T11:00:06.976+07:00,856153102401800,856153107723100,5.321
23,1787371207111022800,2026-08-22T11:00:07.111+07:00,856153222144000,856153209109600,13.034
24,1787371207279110200,2026-08-22T11:00:07.279+07:00,856153366553200,856153366694900,0.142
25,1787371207433809500,2026-08-22T11:00:07.433+07:00,856153528218600,856153512748300,15.470
26,1787371207558068200,2026-08-22T11:00:07.558+07:00,856153687980500,856153661505900,26.475
27,1787371207708626900,2026-08-22T11:00:07.708+07:00,856153816904800,856153812356600,4.548
28,1787371207882188200,2026-08-22T11:00:07.882+07:00,856153923890300,856153957778600,33.888
29,1787371208032883200,2026-08-22T11:00:08.032+07:00,856154138794100,856154109708000,29.086
30,1787371208338432400,2026-08-22T11:00:08.338+07:00,856154424719600,856154410046300,14.673
31,1787371208492338500,2026-08-22T11:00:08.492+07:00,856154590342100,856154559513300,30.829
32,1787371208616411300,2026-08-22T11:00:08.616+07:00,856154733145800,856154708732600,24.413
