frame_idx,capture_unix_ns,wall_time_iso,cam1_monotonic_ns,cam2_monotonic_ns,camera_skew_ms
1,1787500317158945100,2026-08-23T22:51:57.158+07:00,49064537266400,49064452930000,84.336
2,1787500317328229600,2026-08-23T22:51:57.328+07:00,49064827593400,49064840079200,12.486
3,1787500317531043800,2026-08-23T22:51:57.531+07:00,49064939885700,49064995769100,55.883
4,1787500317904502800,2026-08-23T22:51:57.904+07:00,49065401881700,49065379604900,22.277
5,1787500318126185200,2026-08-23T22:51:58.126+07:00,49065530620300,49065579538400,48.918
6,1787500318343484400,2026-08-23T22:51:58.343+07:00,49065659052200,49065778407200,119.355
7,1787500318616123500,2026-08-23T22:51:58.616+07:00,49066042058100,49066029110900,12.947
8,1787500318871238100,2026-08-23T22:51:58.871+07:00,49066296447100,49066279674300,16.773
9,1787500319096448100,2026-08-23T22:51:59.096+07:00,49066508306500,49066559846200,51.540
10,1787500319313548800,2026-08-23T22:51:59.313+07:00,49066780031400,49066758860200,21.171
11,1787500319539285800,2026-08-23T22:51:59.539+07:00,49066996444400,49067005874900,9.431
12,1787500319760490800,2026-08-23T22:51:59.760+07:00,49067132513100,49067202751700,70.239
13,1787500319994264500,2026-08-23T22:51:59.994+07:00,49067432192500,49067455459300,23.267
14,1787500320212288000,2026-08-23T22:52:00.212+07:00,49067627949600,49067651696100,23.747
15,1787500320457993200,2026-08-23T22:52:00.458+07:00,49067912001200,49067904008300,7.993
16,1787500320667003800,2026-08-23T22:52:00.667+07:00,49068122730900,49068148723600,25.993
17,1787500320882780800,2026-08-23T22:52:00.882+07:00,49068362353600,49068351046100,11.307
18,1787500321094141500,2026-08-23T22:52:01.094+07:00,49068564178500,49068558903500,5.275
19,1787500321330677300,2026-08-23T22:52:01.330+07:00,49068781747600,49068749927600,31.820
20,1787500321536904300,2026-08-23T22:52:01.536+07:00,49069010901400,49069000322800,10.579
21,1787500321741744000,2026-08-23T22:52:01.741+07:00,49069182539000,49069202258700,19.720
22,1787500321966240300,2026-08-23T22:52:01.966+07:00,49069338770400,49069400271600,61.501
23,1787500322180362100,2026-08-23T22:52:02.180+07:00,49069624539700,49069658036100,33.496
24,1787500322393899700,2026-08-23T22:52:02.393+07:00,49069830943800,49069862345700,31.402
25,1787500322609357800,2026-08-23T22:52:02.609+07:00,49070058399400,49070057835900,0.564
26,1787500322804245600,2026-08-23T22:52:02.804+07:00,49070284090600,49070300007500,15.917
27,1787500323026424500,2026-08-23T22:52:03.026+07:00,49070496203500,49070453969000,42.234
28,1787500323249583500,2026-08-23T22:52:03.249+07:00,49070704809200,49070704033700,0.775
29,1787500323441008500,2026-08-23T22:52:03.441+07:00,49070899202500,49070902286200,3.084
30,1787500323631758200,2026-08-23T22:52:03.631+07:00,49071054302300,49071106365500,52.063
31,1787500323875475400,2026-08-23T22:52:03.875+07:00,49071271261200,49071311174400,39.913
32,1787500324094489900,2026-08-23T22:52:04.094+07:00,49071524952700,49071562294700,37.342
33,1787500324317710800,2026-08-23T22:52:04.317+07:00,49071800237800,49071762826500,37.411
34,1787500324500573800,2026-08-23T22:52:04.500+07:00,49071979511900,49071954736700,24.775
35,1787500324686497700,2026-08-23T22:52:04.686+07:00,49072182728700,49072157850700,24.878
36,1787500324905019700,2026-08-23T22:52:04.905+07:00,49072334720600,49072354831900,20.111
37,1787500325098162500,2026-08-23T22:52:05.098+07:00,49072520385000,49072555261600,34.877
38,1787500325270669700,2026-08-23T22:52:05.270+07:00,49072782595400,49072759647300,22.948
39,1787500325468926000,2026-08-23T22:52:05.468+07:00,49072918971700,49072953164200,34.193
40,1787500325655576300,2026-08-23T22:52:05.655+07:00,49073128536400,49073161021600,32.485
41,1787500325862365300,2026-08-23T22:52:05.862+07:00,49073291938900,49073303848700,11.910
42,1787500326085675300,2026-08-23T22:52:06.085+07:00,49073540635700,49073554613300,13.978
43,1787500326409755000,2026-08-23T22:52:06.409+07:00,49073876327900,49073856405200,19.923
44,1787500326620688100,2026-08-23T22:52:06.620+07:00,49074068948700,49074096044700,27.096
45,1787500326837483200,2026-08-23T22:52:06.837+07:00,49074305851700,49074305550600,0.301
46,1787500327020086900,2026-08-23T22:52:07.020+07:00,49074465491000,49074495460100,29.969
47,1787500327211030700,2026-08-23T22:52:07.211+07:00,49074604963000,49074701312100,96.349
48,1787500327415218000,2026-08-23T22:52:07.415+07:00,49074868524700,49074897481200,28.956
49,1787500327606023600,2026-08-23T22:52:07.606+07:00,49075044861000,49075098124400,53.263
50,1787500327811659200,2026-08-23T22:52:07.811+07:00,49075271879700,49075292093200,20.213
51,1787500328043285800,2026-08-23T22:52:08.043+07:00,49075503873100,49075502951500,0.922
52,1787500328249658700,2026-08-23T22:52:08.249+07:00,49075706253900,49075725044500,18.791
53,1787500328550605000,2026-08-23T22:52:08.550+07:00,49075939270400,49075951728100,12.458
54,1787500328768928100,2026-08-23T22:52:08.768+07:00,49076236781400,49076246194600,9.413
55,1787500328982166300,2026-08-23T22:52:08.982+07:00,49076413373900,49076424217800,10.844
56,1787500329280795200,2026-08-23T22:52:09.280+07:00,49076571941100,49076676749800,104.809
57,1787500329580286400,2026-08-23T22:52:09.580+07:00,49076961875500,49076981503700,19.628
58,1787500329844207700,2026-08-23T22:52:09.844+07:00,49077220180800,49077248321500,28.141
59,1787500330141612400,2026-08-23T22:52:10.141+07:00,49077608948200,49077540970200,67.978
60,1787500330369329200,2026-08-23T22:52:10.369+07:00,49077827551000,49077807113400,20.438
61,1787500330653585300,2026-08-23T22:52:10.653+07:00,49078019918800,49078043562600,23.644
62,1787500330884492100,2026-08-23T22:52:10.884+07:00,49078292076800,49078349578400,57.502
63,1787500331191646200,2026-08-23T22:52:11.191+07:00,49078534228900,49078549088700,14.860
64,1787500331439326000,2026-08-23T22:52:11.439+07:00,49078851600200,49078890513300,38.913
65,1787500331687344700,2026-08-23T22:52:11.687+07:00,49079073241900,49079127061200,53.819
66,1787500331926617600,2026-08-23T22:52:11.926+07:00,49079368329500,49079366871400,1.458
67,1787500332149866300,2026-08-23T22:52:12.149+07:00,49079517481900,49079600395200,82.913
68,1787500332448995000,2026-08-23T22:52:12.449+07:00,49079801817100,49079806338000,4.521
69,1787500332716030200,2026-08-23T22:52:12.716+07:00,49080102242400,49080139782700,37.540
70,1787500333079881700,2026-08-23T22:52:13.079+07:00,49080395057000,49080409984400,14.927
71,1787500333354482100,2026-08-23T22:52:13.354+07:00,49080734521500,49080779817800,45.296
72,1787500333626471500,2026-08-23T22:52:13.626+07:00,49081008431600,49081052622900,44.191
73,1787500333936451000,2026-08-23T22:52:13.936+07:00,49081302707000,49081326591500,23.884
74,1787500334214311400,2026-08-23T22:52:14.214+07:00,49081604762900,49081628024300,23.261
75,1787500334595705900,2026-08-23T22:52:14.595+07:00,49081993418100,49081894256000,99.162
76,1787500334936277400,2026-08-23T22:52:14.936+07:00,49082285564900,49082267598800,17.966
77,1787500335189475700,2026-08-23T22:52:15.189+07:00,49082552715200,49082610809200,58.094
78,1787500335459511200,2026-08-23T22:52:15.459+07:00,49082883984700,49082870206700,13.778
79,1787500335744351700,2026-08-23T22:52:15.744+07:00,49083189660200,49083143029400,46.631
80,1787500335993903300,2026-08-23T22:52:15.993+07:00,49083441975800,49083424356800,17.619
81,1787500336240651700,2026-08-23T22:52:16.240+07:00,49083667702300,49083686274100,18.572
82,1787500336458505800,2026-08-23T22:52:16.458+07:00,49083896788400,49083926088700,29.300
83,1787500336698675700,2026-08-23T22:52:16.698+07:00,49084148551000,49084125318900,23.232
84,1787500336945563300,2026-08-23T22:52:16.945+07:00,49084379234100,49084363643800,15.590
85,1787500337171414500,2026-08-23T22:52:17.171+07:00,49084604008700,49084627036600,23.028
86,1787500337440373800,2026-08-23T22:52:17.440+07:00,49084859300800,49084832534200,26.767
87,1787500337694346000,2026-08-23T22:52:17.694+07:00,49085143854700,49085143561500,0.293
88,1787500337939724200,2026-08-23T22:52:17.939+07:00,49085381160100,49085378542900,2.617
89,1787500338176079900,2026-08-23T22:52:18.176+07:00,49085625904600,49085611492600,14.412
90,1787500338426373000,2026-08-23T22:52:18.426+07:00,49085787252600,49085846770800,59.518
91,1787500338699652000,2026-08-23T22:52:18.699+07:00,49086116322800,49086117893900,1.571
92,1787500339046625800,2026-08-23T22:52:19.046+07:00,49086497986900,49086495615400,2.372
93,1787500339325089500,2026-08-23T22:52:19.325+07:00,49086652595800,49086727614100,75.018
94,1787500339579646500,2026-08-23T22:52:19.579+07:00,49087010816300,49086996840600,13.976
95,1787500339874769100,2026-08-23T22:52:19.874+07:00,49087241429200,49087269562400,28.133
96,1787500340179336700,2026-08-23T22:52:20.179+07:00,49087524994900,49087540821200,15.826
97,1787500340470176000,2026-08-23T22:52:20.470+07:00,49087880811600,49087880343500,0.468
98,1787500340735129900,2026-08-23T22:52:20.735+07:00,49088152153900,49088148931300,3.223
99,1787500341047695500,2026-08-23T22:52:21.047+07:00,49088392917600,49088416079500,23.162
100,1787500341350424200,2026-08-23T22:52:21.350+07:00,49088628304800,49088724821900,96.517
101,1787500341621670100,2026-08-23T22:52:21.621+07:00,49089043759100,49089034421200,9.338
102,1787500341898471200,2026-08-23T22:52:21.898+07:00,49089242816900,49089296091300,53.274
103,1787500342168677700,2026-08-23T22:52:22.168+07:00,49089581052500,49089597720500,16.668
104,1787500342573476700,2026-08-23T22:52:22.573+07:00,49089906676200,49089840720500,65.956
105,1787500342850647600,2026-08-23T22:52:22.850+07:00,49090257952200,49090245608600,12.344
106,1787500343135463200,2026-08-23T22:52:23.135+07:00,49090552442900,49090551858800,0.584
107,1787500343479307700,2026-08-23T22:52:23.479+07:00,49090837917600,49090819450900,18.467
108,1787500343776739700,2026-08-23T22:52:23.776+07:00,49091176532700,49091187839500,11.307
109,1787500344071897000,2026-08-23T22:52:24.071+07:00,49091464935600,49091461607900,3.328
110,1787500344415583300,2026-08-23T22:52:24.415+07:00,49091757125200,49091780957500,23.832
111,1787500344720725300,2026-08-23T22:52:24.720+07:00,49092105850700,49092134849900,28.999
112,1787500345031438800,2026-08-23T22:52:25.031+07:00,49092371442100,49092420417000,48.975
113,1787500345372677100,2026-08-23T22:52:25.372+07:00,49092716528700,49092740163300,23.635
114,1787500345707651900,2026-08-23T22:52:25.707+07:00,49093074961200,49093060319200,14.642
115,1787500346013339600,2026-08-23T22:52:26.013+07:00,49093401168000,49093420683800,19.516
116,1787500346310169300,2026-08-23T22:52:26.310+07:00,49093657836500,49093718867500,61.031
117,1787500346628097300,2026-08-23T22:52:26.628+07:00,49094002666200,49094023291100,20.625
118,1787500346935931000,2026-08-23T22:52:26.935+07:00,49094336314300,49094323614700,12.700
119,1787500347225487700,2026-08-23T22:52:27.225+07:00,49094643142500,49094638402300,4.740
120,1787500347566560400,2026-08-23T22:52:27.566+07:00,49094858311000,49094931281300,72.970
121,1787500347860609100,2026-08-23T22:52:27.860+07:00,49095209489100,49095186047200,23.442
122,1787500348208554500,2026-08-23T22:52:28.208+07:00,49095568296900,49095564764100,3.533
123,1787500348555356300,2026-08-23T22:52:28.555+07:00,49095919856600,49095936534800,16.678
124,1787500349052533500,2026-08-23T22:52:29.052+07:00,49096359650900,49096260052400,99.599
125,1787500349353165400,2026-08-23T22:52:29.353+07:00,49096613519000,49096729271600,115.753
126,1787500349638713900,2026-08-23T22:52:29.638+07:00,49097059885900,49097031317100,28.569
127,1787500349930231500,2026-08-23T22:52:29.930+07:00,49097314048600,49097332744100,18.695
128,1787500350232310000,2026-08-23T22:52:30.232+07:00,49097555870200,49097639490500,83.620
129,1787500350519482700,2026-08-23T22:52:30.519+07:00,49097812865100,49097918668200,105.803
130,1787500350810752800,2026-08-23T22:52:30.810+07:00,49098151178800,49098216645500,65.467
131,1787500351262881700,2026-08-23T22:52:31.262+07:00,49098687324900,49098656480300,30.845
132,1787500351541413400,2026-08-23T22:52:31.541+07:00,49098947052300,49098958367100,11.315
133,1787500351822814900,2026-08-23T22:52:31.822+07:00,49099206062200,49099228837400,22.775
134,1787500352128692000,2026-08-23T22:52:32.128+07:00,49099467648300,49099530595000,62.947
135,1787500352423272600,2026-08-23T22:52:32.423+07:00,49099830020200,49099844543400,14.523
