frame_idx,total_processing_ms
1,418.239
2,77.424
3,235.104
4,229.188
5,232.094
6,97.207
7,233.870
8,234.770
9,89.810
10,238.292
11,240.088
12,90.754
13,234.588
14,342.045
15,125.081
16,454.107
17,446.820
18,120.588
19,421.837
20,363.981
21,139.442
22,432.408
23,474.762
24,158.795
25,313.866
26,403.451
27,124.776
28,476.494
29,378.941
30,134.043
31,427.291
32,380.416
33,414.337
34,137.780
35,425.240
36,458.537
37,152.553
38,427.004
39,432.216
40,150.560
41,429.444
42,442.980
43,438.322
44,438.895
45,145.221
46,438.669
47,433.606
48,135.434
49,480.802
50,439.319
51,134.752
52,352.116
53,302.996
54,288.366
55,106.973
56,323.231
57,329.574
58,337.778
59,357.633
60,326.544
61,362.805
62,105.818
63,630.614
64,98.626
65,519.370
66,109.920
67,102.457
68,513.817
69,125.032
70,597.954
71,166.972
72,775.887
73,153.866
74,778.798
75,130.395
76,721.845
77,136.702
78,798.715
79,151.779
80,689.952
81,146.437
82,448.053
83,460.594
84,112.615
85,486.014
86,443.855
87,420.062
88,452.374
89,147.377
90,469.322
91,409.768
92,469.816
93,458.886
94,467.089
95,454.821
96,450.163
97,379.267
98,418.126
99,431.714
100,490.753
101,430.815
102,416.712
103,423.388
104,455.083
105,404.791
106,398.110
107,376.286
108,430.841
109,428.332
110,397.435
111,454.566
112,435.721
113,374.568
114,490.337
115,437.015
116,474.047
117,446.192
118,375.553
119,471.204
120,450.295
121,480.530
122,460.854
123,433.798
124,460.719
125,483.819
126,482.164
127,458.534
128,484.588
129,161.690
130,731.637
131,455.023
132,383.777
133,416.194
134,399.596
135,454.459
136,452.036
137,450.384
138,450.688
139,428.736
140,448.641
141,417.225
142,344.013
143,411.195
144,473.563
145,420.766
146,470.031
147,483.430
148,436.757
149,448.855
150,445.531
151,447.607
152,435.356
153,438.117
154,426.562
155,462.282
156,410.989
157,369.111
158,310.967
159,347.282
160,404.669
161,411.630
162,436.777
163,106.482
164,614.557
165,153.280
166,658.779
167,119.557
168,693.369
169,113.994
170,448.141
171,431.232
172,431.365
173,124.240
174,684.867
175,118.654
176,416.352
177,365.280
178,139.703
179,427.750
180,456.144
181,383.674
182,143.738
183,747.710
184,135.071
185,139.509
186,706.814
187,114.916
188,99.209
189,753.583
190,130.604
191,124.878
192,713.525
193,149.430
194,404.591
195,427.806
196,157.811
197,430.916
198,454.950
199,143.201
200,420.192
201,430.874
202,143.853
203,421.992
204,423.545
205,134.682
206,394.240
207,433.770
208,131.138
209,442.299
210,418.301
211,144.897
212,415.647
213,454.729
214,132.193
215,458.743
216,436.779
217,145.767
218,438.213
219,455.635
220,143.135
221,457.679
222,404.565
223,129.609
224,355.663
225,385.356
226,106.413
227,333.724
228,317.828
229,103.766
230,612.198
231,99.132
232,113.305
233,644.703
234,131.957
235,103.554
236,634.415
237,124.281
238,99.698
239,361.098
240,370.629
241,123.344
242,373.492
243,431.278
244,132.933
245,457.244
246,439.159
247,138.494
248,406.724
249,370.802
250,141.626
251,462.531
252,471.422
253,130.558
254,469.392
255,148.137
256,444.798
257,415.441
258,144.599
259,386.783
260,408.124
261,143.376
262,421.407
263,426.320
264,158.027
265,392.145
266,370.531
267,132.475
268,458.415
269,429.853
270,119.722
271,436.809
272,429.688
273,421.247
274,143.583
275,405.023
276,141.650
277,737.507
278,127.805
279,133.832
280,717.418
281,144.866
282,109.734
283,741.792
284,113.648
285,113.047
286,757.099
287,130.268
288,120.776
289,779.641
290,143.591
291,123.268
292,745.543
293,125.204
294,126.767
295,747.787
296,148.841
297,122.944
298,679.547
299,147.268
300,149.398
301,698.920
302,149.826
303,148.132
304,743.195
305,127.207
306,121.065
307,613.197
308,121.132
309,120.068
310,765.734
311,135.505
312,129.924
313,769.183
314,143.481
315,105.866
316,742.965
317,139.913
318,118.640
319,794.759
320,135.508
321,129.473
322,789.235
323,149.270
324,127.370
325,738.421
326,117.044
327,129.325
328,634.385
329,148.413
330,134.214
331,756.175
332,139.279
333,153.091
334,731.953
335,119.822
336,473.534
337,464.423
338,422.120
339,394.928
340,131.956
341,723.707
342,143.147
343,707.809
344,117.106
345,376.940
346,418.736
347,432.275
348,434.502
349,424.698
350,118.481
351,577.365
352,112.229
353,616.291
354,114.967
355,340.436
356,323.492
357,129.473
358,372.347
359,384.182
360,382.281
361,349.814
362,394.781
363,368.632
364,349.054
365,391.907
366,419.943
367,430.052
368,441.006
369,401.483
370,433.186
371,404.345
372,424.763
373,146.183
374,697.404
375,122.540
376,759.364
377,120.970
378,457.403
379,416.768
380,393.886
381,457.849
382,387.289
383,419.702
384,474.386
385,121.568
386,708.856
387,142.563
388,481.466
389,485.553
390,448.327
391,449.323
392,475.555
393,139.426
394,770.286
395,128.924
396,766.847
397,124.979
398,793.093
399,139.480
400,469.380
401,422.956
402,132.475
403,735.350
404,128.819
405,791.378
406,123.351
407,115.223
408,650.679
409,135.423
410,786.938
411,117.906
412,627.170
413,110.751
414,473.421
415,480.394
416,412.804
417,441.177
418,505.976
419,523.924
420,497.785
421,501.586
422,538.971
423,578.521
424,577.110
425,176.964
426,651.535
427,670.776
428,176.062
429,998.002
430,174.029
431,624.986
432,561.520
433,156.482
434,559.482
435,503.663
436,148.316
437,505.771
438,539.335
439,159.517
440,499.938
441,495.155
442,171.181
443,513.065
444,549.436
445,154.020
446,561.320
447,500.123
448,202.386
449,810.888
450,163.588
451,825.654
452,153.033
453,429.360
454,417.157
455,127.537
456,482.887
457,376.277
458,122.380
459,480.821
460,450.676
461,129.556
462,484.906
463,515.661
464,155.448
465,449.079
466,452.440
467,160.094
468,842.552
469,132.675
470,479.205
471,487.279
472,488.141
473,142.150
474,437.306
475,467.862
476,131.975
477,498.203
478,473.474
479,400.562
480,451.323
481,150.532
482,483.797
483,474.815
484,466.591
485,131.926
486,313.235
487,384.417
488,147.812
489,464.756
490,458.192
491,155.345
492,461.839
493,471.179
494,491.548
495,452.979
496,134.243
497,364.763
498,347.987
499,411.351
500,444.505
501,148.380
502,633.383
503,120.441
504,120.304
505,658.839
506,159.653
507,125.585
508,735.567
509,142.255
510,133.326
511,574.582
512,106.640
513,740.513
514,136.133
515,697.909
516,147.430
517,742.349
518,102.980
519,698.637
520,120.213
521,588.320
522,114.287
523,602.885
524,136.704
525,788.326
526,118.163
527,727.729
528,164.225
529,631.884
530,128.662
531,783.846
532,149.930
533,456.709
534,486.950
535,142.567
536,445.188
537,465.429
538,140.195
539,458.457
540,442.574
541,139.971
542,802.642
543,164.671
544,392.518
545,469.029
546,147.918
547,489.024
548,486.068
549,150.206
550,428.632
551,444.759
552,449.311
553,440.073
554,445.276
555,473.262
556,460.612
557,460.539
558,446.585
559,440.687
560,405.959
561,382.740
562,451.956
563,436.598
564,433.823
565,367.478
566,387.628
567,379.648
568,359.567
569,374.807
570,403.439
571,350.310
572,416.061
573,418.958
574,346.540
575,417.023
576,334.972
577,305.356
578,372.517
579,346.055
580,316.319
581,301.489
582,381.432
583,372.285
584,374.137
585,372.396
586,365.832
587,356.702
588,407.785
589,308.937
590,357.800
591,430.103
592,456.966
593,429.422
594,394.408
595,362.737
596,392.357
597,348.687
598,373.649
599,433.300
600,404.073
601,362.173
602,403.137
603,381.223
604,451.592
605,393.645
606,398.520
607,458.684
608,473.442
609,427.419
610,475.217
611,432.576
612,459.071
613,463.524
614,376.482
615,465.635
616,788.192
617,792.255
618,694.436
619,141.634
620,761.722
621,153.042
622,845.581
623,140.065
624,692.763
625,125.124
626,617.919
627,159.015
628,777.502
629,127.814
630,606.755
631,150.831
632,772.495
633,129.501
634,698.550
635,142.433
636,675.188
637,160.978
638,753.265
639,121.491
640,715.795
641,123.471
642,679.173
643,121.223
644,777.467
645,136.072
646,763.447
647,132.003
648,739.024
649,153.497
650,734.481
651,139.022
652,742.224
653,153.072
654,578.878
655,144.577
656,778.520
657,155.901
658,802.167
659,166.897
660,757.093
661,164.596
662,775.046
663,130.492
664,789.413
665,149.738
666,487.085
667,482.349
668,158.193
669,507.722
670,496.483
671,489.852
672,467.802
673,493.466
674,470.044
675,506.895
676,459.364
677,420.923
678,436.792
679,479.207
680,429.123
681,444.846
682,447.102
683,389.390
684,479.245
685,483.267
686,499.626
687,473.334
688,447.979
689,479.737
690,483.153
691,498.035
692,472.529
693,466.116
694,148.045
695,412.375
696,407.113
697,149.126
698,652.640
699,129.139
700,779.795
701,163.473
702,849.454
703,158.672
704,838.938
705,166.866
706,851.715
707,154.982
708,808.028
709,153.785
710,829.697
711,170.973
712,767.210
713,157.118
714,622.312
715,146.044
716,583.892
717,149.238
718,662.761
719,125.104
720,779.436
721,186.378
722,762.922
723,179.101
724,846.757
725,151.223
726,846.672
727,118.836
728,776.339
729,145.909
730,762.293
731,164.745
732,796.630
733,173.695
734,815.023
735,438.466
736,444.350
737,516.449
738,450.325
739,469.097
740,464.074
741,426.739
742,445.717
743,443.548
744,692.244
745,147.043
746,765.119
747,175.921
748,780.657
749,126.669
750,681.692
751,153.852
752,681.781
753,441.622
754,644.637
755,719.923
756,743.483
757,673.763
758,150.510
759,770.926
760,140.829
761,796.766
762,731.545
763,847.751
764,752.239
765,124.820
766,558.778
767,721.733
768,728.633
769,617.258
770,805.339
771,695.946
772,344.162
773,390.606
774,476.466
775,455.985
776,414.083
777,435.160
778,492.365
779,353.234
780,407.980
781,424.832
782,347.733
783,413.018
784,431.506
785,739.521
786,150.615
787,699.139
788,468.892
789,459.051
790,463.709
791,474.074
792,464.468
793,770.644
794,795.770
795,138.100
796,571.325
797,159.712
798,738.413
799,149.157
800,735.384
801,189.781
802,762.570
803,173.871
804,798.814
805,166.324
806,778.468
807,148.222
808,837.811
809,153.156
810,784.981
811,144.082
812,766.842
813,172.306
814,687.359
815,115.616
816,746.134
817,162.548
818,701.792
819,152.378
820,723.043
821,173.916
822,744.301
823,164.241
824,434.026
825,453.910
826,491.073
827,464.725
828,453.787
829,160.521
830,746.100
831,146.604
832,420.952
833,466.579
834,143.716
835,436.916
836,459.904
837,131.690
838,796.574
839,130.477
840,451.011
841,362.601
842,155.264
843,452.540
844,362.501
845,153.284
846,412.867
847,390.446
848,136.053
849,430.807
850,435.600
851,130.973
852,411.514
853,434.926
854,114.339
855,382.458
856,366.471
857,136.404
858,390.609
859,349.160
860,99.058
861,383.043
862,370.698
863,108.924
864,341.779
865,329.956
866,124.523
867,401.290
868,427.200
869,155.302
870,741.694
871,136.298
872,666.234
873,149.273
874,701.770
875,129.361
876,669.426
877,126.552
878,123.777
879,635.324
880,132.474
881,103.727
882,623.289
883,126.926
884,127.135
885,669.307
886,126.688
887,101.793
888,682.055
889,134.846
890,703.112
891,151.669
892,809.681
893,147.274
894,792.241
895,165.233
896,828.151
897,159.987
898,766.675
899,178.336
900,843.292
901,155.584
902,725.201
903,128.987
904,607.588
905,115.459
906,547.777
907,140.296
908,725.553
909,153.375
910,567.691
911,115.127
912,523.847
913,131.580
914,549.302
915,150.307
916,658.386
917,126.914
918,641.442
919,120.934
920,472.688
921,102.480
922,515.148
923,94.734
924,450.170
925,106.890
926,577.010
927,94.319
928,673.967
929,108.528
930,657.893
931,114.048
932,552.098
933,104.267
934,476.019
935,101.998
936,404.679
937,97.484
938,408.674
939,93.636
940,396.207
941,86.311
942,402.684
943,85.292
944,384.750
945,90.297
946,393.899
947,120.442
948,714.450
949,99.521
950,680.178
951,141.734
952,769.708
953,142.970
954,123.671
955,742.796
956,160.072
957,823.893
958,153.169
959,890.129
960,145.354
961,841.954
962,147.669
963,847.158
964,139.331
965,856.590
966,164.822
967,876.087
968,125.345
969,802.497
970,145.010
971,879.463
972,156.981
973,831.331
974,148.430
975,823.460
976,156.589
977,753.384
978,133.215
979,764.347
980,149.591
981,822.645
982,144.061
983,807.482
984,141.971
985,821.935
986,151.423
987,613.905
988,112.005
989,680.375
990,148.522
991,719.956
992,117.460
993,736.589
994,112.917
995,614.547
996,121.550
997,700.701
998,121.693
999,674.133
1000,117.240
1001,659.909
1002,143.904
1003,689.100
1004,125.043
1005,709.275
1006,130.551
1007,728.403
1008,126.656
1009,775.842
1010,152.488
1011,756.652
1012,132.055
1013,712.500
1014,124.080
1015,805.455
1016,146.825
1017,654.605
1018,109.211
1019,743.135
1020,143.224
1021,745.733
1022,150.705
1023,450.113
1024,459.322
1025,134.889
1026,443.198
1027,453.494
1028,117.559
1029,344.505
1030,452.265
1031,120.421
1032,311.379
1033,521.218
1034,156.373
1035,489.484
1036,431.064
1037,144.439
1038,435.448
1039,504.214
1040,174.676
1041,480.359
1042,495.869
1043,158.866
1044,480.796
1045,387.019
1046,122.028
1047,269.862
1048,231.214
1049,316.445
1050,372.835
1051,378.913
1052,370.362
1053,295.120
1054,258.939
1055,282.933
1056,277.853
1057,307.922
1058,291.956
1059,288.671
1060,299.968
1061,295.953
1062,436.133
1063,403.613
1064,129.508
1065,825.493
1066,139.721
1067,844.594
1068,143.758
1069,514.892
1070,473.299
1071,464.375
1072,371.012
1073,329.226
1074,510.524
1075,142.547
1076,555.314
1077,527.044
1078,427.568
1079,433.374
1080,485.739
1081,502.979
1082,415.885
1083,403.406
1084,457.827
1085,455.511
1086,428.326
1087,448.694
1088,411.253
1089,472.279
1090,329.172
1091,470.581
1092,453.917
1093,386.610
1094,473.119
1095,473.050
1096,436.910
1097,484.128
1098,449.481
1099,450.757
1100,509.145
1101,535.958
1102,496.639
1103,524.267
1104,506.944
1105,539.419
1106,442.976
1107,518.097
1108,521.882
1109,856.879
1110,139.897
1111,835.121
1112,488.554
1113,503.737
1114,843.438
1115,871.041
1116,801.952
1117,144.348
1118,834.076
1119,176.545
1120,904.909
1121,123.579
1122,807.372
1123,832.043
1124,748.289
1125,128.688
1126,846.338
1127,160.286
1128,796.799
1129,138.804
1130,786.076
1131,835.570
1132,160.199
1133,841.720
1134,836.894
1135,142.686
1136,755.381
1137,121.332
1138,712.039
1139,142.587
1140,714.223
1141,644.287
1142,128.635
1143,746.779
1144,386.439
1145,528.960
1146,143.489
1147,632.893
1148,108.509
1149,676.866
1150,491.122
1151,145.480
1152,676.696
1153,144.936
1154,748.346
1155,125.243
1156,680.758
1157,110.973
1158,786.324
1159,148.286
1160,831.585
1161,155.828
1162,649.342
1163,126.367
1164,684.260
1165,135.555
1166,746.607
1167,142.538
1168,795.186
1169,172.770
1170,736.301
1171,146.353
1172,736.310
1173,177.970
1174,844.343
1175,122.092
1176,766.728
1177,151.405
1178,810.131
1179,172.792
1180,864.150
1181,152.064
1182,798.330
1183,162.877
1184,135.373
1185,596.296
1186,152.152
1187,143.846
1188,807.906
