frame_idx,total_processing_ms
1,488.301
2,93.968
3,429.684
4,109.228
5,109.926
6,115.539
7,431.851
8,100.102
9,100.291
10,105.023
11,408.024
12,102.230
13,98.621
14,102.349
15,406.553
16,102.416
17,103.832
18,101.664
19,409.387
20,98.230
21,99.448
22,108.061
23,408.088
24,102.701
25,97.853
26,96.563
27,427.386
28,97.897
29,100.918
30,449.642
31,98.548
32,99.783
33,93.830
34,424.829
35,97.161
36,103.503
37,89.968
38,445.031
39,88.557
40,101.189
41,98.699
42,450.843
43,93.095
44,99.097
45,84.639
46,452.509
47,92.409
48,104.782
49,100.190
50,452.439
51,95.003
52,111.099
53,258.776
54,289.517
55,90.689
56,96.950
57,87.249
58,406.902
59,89.058
60,94.090
61,91.522
62,424.211
63,89.557
64,129.638
65,94.797
66,406.302
67,92.804
68,99.366
69,92.876
70,467.991
71,105.602
72,107.089
73,103.723
74,546.708
75,132.620
76,114.311
77,113.812
78,497.375
79,103.648
80,113.179
81,111.957
82,500.146
83,116.272
84,120.914
85,130.911
86,555.881
87,130.402
88,114.443
89,129.290
90,501.934
91,99.799
92,112.599
93,98.846
94,469.814
95,98.775
96,116.314
97,106.000
98,416.128
99,88.205
100,97.822
101,127.927
102,449.130
103,93.981
104,104.895
105,93.872
106,425.802
107,98.420
108,108.927
109,103.092
110,441.673
111,93.827
112,114.951
113,114.864
114,473.901
115,103.771
116,101.464
117,102.194
118,437.352
119,99.468
120,113.310
121,114.893
122,456.376
123,112.742
124,110.986
125,110.548
126,449.727
127,113.059
128,104.988
129,111.765
130,473.981
131,116.785
132,129.840
133,132.766
134,505.053
135,119.023
136,127.376
137,124.255
138,526.470
139,111.860
140,117.701
141,111.375
142,464.231
143,157.952
144,167.485
145,136.603
146,555.490
147,132.518
148,168.237
149,582.256
150,109.796
151,120.465
152,114.210
153,493.422
154,104.207
155,116.630
156,113.097
157,473.079
158,104.711
159,113.699
160,102.281
161,450.398
162,102.776
163,109.341
164,106.359
165,464.411
166,106.696
167,114.836
168,107.119
169,465.722
